filer_lastname,filer_firstname,filer_office,office_first_name,office_middle_name,office_last_name,report_title,reporting_year,begin_travel_date,end_travel_date,date_received,transaction_date,num_pages,doc_url,file_name,source,id,date_of_birth,gender,party,state,notes,is_member,document_link
WHEELER,SUSAN,"CRAPO, MIKE",MIKE,NA,NA,Employee Reimbursed Travel,2024,2024-05-02,2024-05-04,2024-05-14,2024-05-14,20,https://giftrule-disclosure.senate.gov/media/2024/hhgL79Zho0ya5yNAtnfQGw.pdf,hhgL79Zho0ya5yNAtnfQGw.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
WICKENHAUSER,CALLA,"HOEVEN, JOHN",JOHN,NA,NA,Employee Reimbursed Travel,2024,2024-04-25,2024-04-26,2024-05-17,2024-05-17,17,https://giftrule-disclosure.senate.gov/media/2024/ja5vDEFBdkmmyRQo5cXgMg.pdf,ja5vDEFBdkmmyRQo5cXgMg.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
WUSTENBERG,LAUREN,"STABENOW, DEBBIE",DEBBIE,NA,NA,Employee Reimbursed Travel,2024,2024-03-15,2024-03-17,2024-05-01,2024-05-01,37,https://giftrule-disclosure.senate.gov/media/2024/fY7AiSb1ikrRjdOlbojww.pdf,fY7AiSb1ikrRjdOlbojww.pdf,2024-06-01,NA,NA,NA,NA,NA,NA,FALSE,NA
COOK,MARY CATHERINE,"ALEXANDER, LAMAR",LAMAR,NA,ALEXANDER,Employee Reimbursed Travel,2020,2020-02-17,2020-02-19,2020-04-22,2020-04-27,5,https://giftrule-disclosure.senate.gov/media/2020/VHEaAMHcQ0CNLRDpSj725Q.pdf,VHEaAMHcQ0CNLRDpSj725Q.pdf,2024-04-01,A000360,1940-07-03,M,R,TN,NA,FALSE,https://www.documentcloud.org/documents/24130109-vheaamhcq0cnlrdpsj725q
ENGELMAN,AVRAHAM HAIM,"RUBIO, MARCO",MARCO,NA,RUBIO,Employee Reimbursed Travel,2020,2020-01-06,2020-01-08,2020-04-23,2020-04-23,8,https://giftrule-disclosure.senate.gov/media/2020/omUDZiO6vUaf0ujNFZVHZA.pdf,omUDZiO6vUaf0ujNFZVHZA.pdf,2024-04-01,R000595,1971-05-28,M,R,FL,NA,FALSE,https://www.documentcloud.org/documents/24577368-omudzio6vuaf0ujnfzvhza
LIN,JOHN,"WICKER, ROGER",ROGER,NA,WICKER,Employee Reimbursed Travel,2020,2020-02-20,2020-02-23,2020-04-24,2020-04-27,5,https://giftrule-disclosure.senate.gov/media/2020/BaRFhJekF0eY2Vr4hFJx5Q.pdf,BaRFhJekF0eY2Vr4hFJx5Q.pdf,2024-04-01,W000437,1951-07-05,M,R,MS,NA,FALSE,https://www.documentcloud.org/documents/24130106-barfhjekf0ey2vr4hfjx5q
RADY,MICHAEL,"BOOKER, CORY",CORY,NA,BOOKER,Employee Reimbursed Travel,2020,2019-10-08,2019-10-10,2020-04-23,2020-04-23,10,https://giftrule-disclosure.senate.gov/media/2020/E9KR9PDzEEiHpo2Sx3tPRQ.pdf,E9KR9PDzEEiHpo2Sx3tPRQ.pdf,2024-04-01,B001288,1969-04-27,M,D,NJ,NA,FALSE,https://www.documentcloud.org/documents/24577166-e9kr9pdzeeihpo2sx3tprq
SCHOCHET,LEILA,"MURRAY, PATTY",PATTY,NA,MURRAY,Employee Reimbursed Travel,2020,2019-10-08,2019-10-10,2020-04-23,2020-04-23,10,https://giftrule-disclosure.senate.gov/media/2020/KoydS4RNZEGd3QOJGZsdYw.pdf,KoydS4RNZEGd3QOJGZsdYw.pdf,2024-04-01,M001111,1950-10-11,F,D,WA,NA,FALSE,https://www.documentcloud.org/documents/24577283-koyds4rnzegd3qojgzsdyw
THOMPSON,MEGAN,"ROSEN, JACKY",JACKY,NA,ROSEN,Employee Reimbursed Travel,2020,2020-02-18,2020-02-19,2020-04-22,2020-04-24,22,https://giftrule-disclosure.senate.gov/media/2020/R2KYrrYAhkusNSMQO9LQ.pdf,R2KYrrYAhkusNSMQO9LQ.pdf,2024-04-01,R000608,1957-08-02,F,D,NV,NA,FALSE,https://www.documentcloud.org/documents/24375215-r2kyrryahkusnsmqo9lq
ALCORN,REBECCA,"CRAPO, MIKE",MIKE,NA,CRAPO,Employee Reimbursed Travel,2020,2020-02-18,2020-02-19,2020-03-09,2020-03-13,11,https://giftrule-disclosure.senate.gov/media/2020/e9Z6oWJ5EaBkanACbDqaw.pdf,e9Z6oWJ5EaBkanACbDqaw.pdf,2024-03-03,C000880,1951-05-20,M,R,ID,NA,FALSE,https://www.documentcloud.org/documents/24130456-e9z6owj5eabkanacbdqaw
